name,on_github,on_local,fork,gh_default_branch,gh_last_pushed,local_path,local_branch,local_commit_date,local_commit_hash,sync_status,source_of_truth,description
ActionableLogLines,Yes,Yes,No,main,2026-01-05T19:15:33Z,/mnt/c/myStuff/_infra/ActionableLogLines,main,2026-01-05 13:15:13 -0600,a8db2148,Present in both,GitHub,
agents,Yes,Yes,Yes,main,2026-01-05T10:58:48Z,/mnt/c/myStuff/_infra/agents,main,2026-01-05 04:58:40 -0600,e684d6bc,Present in both,GitHub,Intelligent automation and multi-agent orchestration for Claude Code
ApiEndpoints,Yes,No,Yes,master,2020-08-17T13:49:50Z,,,,,GitHub only,GitHub,A project for supporting API Endpoints in ASP.NET Core web applications.
awesome-claude-skills,Yes,No,Yes,master,2025-11-20T14:48:15Z,,,,,GitHub only,GitHub,"A curated list of awesome Claude Skills, resources, and tools for customizing Cl"
azure-quickstart-templates,Yes,No,Yes,master,2019-03-21T09:04:30Z,,,,,GitHub only,GitHub,Azure Quickstart Templates
AzureFunctionsLogging,Yes,No,Yes,master,2018-03-30T19:32:39Z,,,,,GitHub only,GitHub,
bankwebinars,Yes,No,No,master,2025-09-15T21:19:37Z,,,,,GitHub only,GitHub,
beads,Yes,Yes,Yes,main,2026-01-29T17:48:29Z,/mnt/c/myStuff/_infra/beads,main,2026-01-29 11:46:26 -0600,6ab43bce,Present in both,GitHub,Beads - A memory upgrade for your coding agent
beads_viewer,Yes,Yes,Yes,main,2025-12-14T10:31:12Z,/mnt/c/myStuff/_infra/beads/beads_viewer,main,2025-12-14 04:31:06 -0600,ffdbf05e,Present in both,GitHub,View your beads (Steve Yegge's task management system for coding agents) like a 
Bitwarden,No,Yes,No,,,/mnt/c/myStuff/Bitwarden,main,2025-11-28 14:13:32 -0600,fc72733b,Local only,Local only (no GitHub match),
BlazorHealthApp,Yes,No,Yes,master,2019-09-13T16:18:16Z,,,,,GitHub only,GitHub,Example application ported from Angular 2 to Blazor
buildClaudeUI,Yes,No,No,main,2025-11-16T15:26:56Z,,,,,GitHub only,GitHub,
BuilderTestSample,Yes,No,Yes,master,2020-06-08T19:11:44Z,,,,,GitHub only,GitHub,Show how to use a builder with unit tests.
bunit,Yes,No,Yes,master,2020-03-02T23:03:13Z,,,,,GitHub only,GitHub,A unit testing library for Blazor Components. You can easily define components u
